Ontology ID	parent class	label	datatype	requirement	description	examples	guidance	source	data status	min value	max value	capitalize
MIXS:0000728	core field	primary_prod	xs:token		"Measurement of primary production, generally measured as isotope uptake"	100 milligram per cubic meter per day	"Expected value: measurement value. Preferred unit: milligram per cubic meter per day, gram per square meter per day. Occurrence: 1. Position: 1.0. This field is used uniquely in: water"					
MIXS:0000182	core field	redox_potential	xs:token		"Redox potential, measured relative to a hydrogen cell, indicating oxidation or reduction potential"	300 millivolt	"Expected value: measurement value. Preferred unit: millivolt. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water"					
MIXS:0000183	core field	salinity	xs:token		"The total concentration of all dissolved salts in a liquid or solid sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater."	25 practical salinity unit	"Expected value: measurement value. Preferred unit: practical salinity unit, percentage. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water"					
MIXS:0000116	core field	samp_store_dur	xs:token		Duration for which the sample was stored	P1Y6M	"Expected value: duration. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water"					
MIXS:0000755	core field	samp_store_loc	xs:token		"Location at which sample was stored, usually name of a specific freezer/room"	Freezer no:5	"Expected value: location name. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water"					
MIXS:0000110	core field	samp_store_temp	xs:token	required	"Temperature at which sample was stored, e.g. -80 degree Celsius"	-80 degree Celsius	"Expected value: measurement value. Preferred unit: degree Celsius. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water"					
MIXS:0000184	core field	silicate	xs:token		Concentration of silicate	0.05 micromole per liter	"Expected value: measurement value. Preferred unit: micromole per liter. Occurrence: 1. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
MIXS:0000735	core field	size_frac_low	xs:token		Refers to the mesh/pore size used to pre-filter/pre-sort the sample. Materials larger than the size threshold are excluded from the sample	0.2 micrometer	Expected value: value. Preferred unit: micrometer. Occurrence: 1. Position: 1.0. This field is used uniquely in: water					
MIXS:0000736	core field	size_frac_up	xs:token		Refers to the mesh/pore size used to retain the sample. Materials smaller than the size threshold are excluded from the sample	20 micrometer	Expected value: value. Preferred unit: micrometer. Occurrence: 1. Position: 1.0. This field is used uniquely in: water					
MIXS:0000428	core field	sodium	xs:token		Sodium concentration in the sample	10.5 milligram per liter	"Expected value: measurement value. Preferred unit: milligram per liter, parts per million. Occurrence: 1. Position: 66.0. This field is used in: 7 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, wastewater_sludge, water"					
MIXS:0000738	core field	soluble_react_phosp	xs:token		Concentration of soluble reactive phosphorus	0.1 milligram per liter	"Expected value: measurement value. Preferred unit: micromole per liter, milligram per liter, parts per million. Occurrence: 1. Position: 1.0. This field is used uniquely in: water"					
MIXS:0000423	core field	sulfate	xs:token		Concentration of sulfate in the sample	5 micromole per liter	"Expected value: measurement value. Preferred unit: micromole per liter, milligram per liter, parts per million. Occurrence: 1. Position: 58.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water"					
